TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1611661318,Sacramento Monarchs,32,19,13,0.594,1280.0,849,2006,0.423,126,421,0.299,568,847,0.671,412,700,1112,500,508.0,328,123,152,614,1,2392,134.0,1,3,3,3,9,2,2,6,7,7,7,2,1,12,1,4,1,7,8,1,4,12,4,11,2,2,1999
1611661319,Utah Starzz,32,15,17,0.469,1300.0,845,1950,0.433,107,363,0.295,570,742,0.768,344,717,1061,552,560.0,240,158,117,740,6,2367,-100.0,1,5,5,5,1,3,4,4,10,9,8,1,3,2,2,2,3,3,11,5,1,8,12,1,3,10,1999
1611661322,Washington Mystics,32,12,20,0.375,1295.0,759,1794,0.423,100,345,0.29,482,679,0.71,312,701,1013,461,574.0,203,87,119,646,4,2100,-146.0,1,11,11,11,3,10,12,7,11,10,11,7,5,9,7,3,4,11,12,12,10,9,5,4,10,11,1999
1611661314,Charlotte Sting,32,8,24,0.25,1295.0,812,1903,0.427,131,386,0.339,431,577,0.747,305,630,935,551,496.0,222,90,123,713,49,2186,-243.0,1,15,15,15,2,7,4,12,9,11,6,10,11,8,9,9,10,3,7,15,12,12,15,13,9,15,2000
1611661315,Cleveland Rockers,32,17,15,0.531,1258.883333,788,1781,0.442,131,389,0.337,418,560,0.746,328,590,918,523,513.0,253,89,94,624,111,2125,80.0,1,7,7,7,16,12,14,5,9,10,7,13,15,9,5,15,12,4,10,10,13,4,6,2,14,6,2000
1611661321,Detroit Shock,32,14,18,0.438,1285.0,868,1981,0.438,76,273,0.278,519,699,0.742,341,644,985,503,530.0,260,88,148,701,74,2331,-97.0,1,10,10,10,7,3,2,8,16,15,15,4,2,10,4,8,5,7,14,8,14,16,12,5,5,12,2000
1611661316,Houston Comets,32,27,5,0.844,1295.0,891,1894,0.47,172,491,0.35,521,634,0.822,273,724,997,494,440.0,284,104,85,554,41,2475,409.0,1,2,2,2,2,1,6,1,3,3,3,3,8,1,14,3,4,10,2,2,7,2,1,15,1,1,2000
1611661325,Indiana Fever,32,9,23,0.281,1285.0,796,1838,0.433,193,521,0.37,428,569,0.752,285,647,932,501,518.0,271,126,75,641,49,2213,-77.0,1,14,14,14,7,10,8,11,2,2,1,12,12,7,12,6,11,8,11,5,5,1,8,13,7,11,2000
1611661320,Los Angeles Sparks,32,28,4,0.875,1290.0,861,1956,0.44,150,452,0.332,545,693,0.786,308,783,1091,586,466.0,271,156,105,705,62,2417,248.0,1,1,1,1,6,4,3,6,4,5,10,2,4,2,8,1,1,1,4,5,3,7,13,7,2,2,2000
1611661326,Miami Sol,32,13,19,0.406,1295.0,647,1774,0.365,85,310,0.274,452,664,0.681,365,595,960,415,524.0,272,88,118,707,57,1831,-170.0,1,12,12,12,2,16,15,16,15,14,16,7,5,15,2,13,6,15,12,4,14,11,14,11,15,14,2000
1611661324,Minnesota Lynx,32,15,17,0.469,1285.0,770,1831,0.421,204,571,0.357,448,590,0.759,258,612,870,495,497.0,237,63,130,690,135,2192,5.0,1,9,9,9,7,13,9,13,1,1,2,9,9,5,15,12,15,9,8,14,16,14,10,1,8,8,2000
1611661313,New York Liberty,32,20,12,0.625,1285.0,792,1815,0.436,135,396,0.341,429,567,0.757,288,652,940,476,474.0,246,102,94,617,62,2148,113.0,1,4,4,4,7,11,11,9,8,8,4,11,13,6,11,4,8,12,6,11,8,4,5,7,12,5,2000
1611661323,Orlando Miracle,32,16,16,0.5,1259.966667,809,1862,0.434,142,417,0.341,377,523,0.721,312,591,903,460,469.0,240,129,106,562,61,2137,-36.0,1,8,8,8,15,8,7,10,6,7,5,16,16,11,6,14,13,14,5,13,4,8,2,9,13,9,2000
1611661317,Phoenix Mercury,32,20,12,0.625,1283.916667,800,1796,0.445,122,392,0.311,513,661,0.776,275,619,894,463,429.0,284,91,91,630,84,2235,137.0,1,4,4,4,11,9,13,4,11,9,12,5,6,3,13,11,14,13,1,2,11,3,7,3,6,4,2000
1611661327,Portland Fire,32,10,22,0.313,1305.0,761,1828,0.416,145,433,0.335,488,697,0.7,309,627,936,480,593.0,265,93,130,760,78,2155,-148.0,1,13,13,13,1,14,10,14,5,6,9,6,3,12,7,10,9,11,16,7,9,14,16,4,11,13,2000
1611661318,Sacramento Monarchs,32,21,11,0.656,1280.0,876,1993,0.44,142,459,0.309,449,650,0.691,388,650,1038,567,459.0,332,157,116,571,35,2343,167.0,1,3,3,3,12,2,1,7,6,4,13,8,7,14,1,5,3,2,3,1,1,10,3,16,4,3,2000
1611661328,Seattle Storm,32,6,26,0.188,1295.0,667,1740,0.383,109,364,0.299,379,561,0.676,256,537,793,390,524.0,255,93,123,648,73,1822,-349.0,1,16,16,16,2,15,16,15,12,12,14,15,14,16,16,16,16,16,12,9,9,12,9,6,16,16,2000
1611661319,Utah Starzz,32,18,14,0.563,1280.0,858,1896,0.453,88,262,0.336,609,790,0.771,348,732,1080,522,544.0,214,157,112,698,58,2413,6.0,1,6,6,6,12,5,5,3,14,16,8,1,1,4,3,2,2,5,15,16,1,9,11,10,3,7,2000
1611661322,Washington Mystics,32,14,18,0.438,1280.0,832,1813,0.459,109,335,0.325,403,578,0.697,300,646,946,521,507.0,245,126,102,597,55,2176,-45.0,1,10,10,10,12,6,12,2,12,13,11,14,10,13,10,7,7,6,9,12,5,6,4,12,10,10,2000
1611661314,Charlotte Sting,32,18,14,0.563,1300.0,746,1780,0.419,153,428,0.357,410,528,0.777,309,639,948,467,474.0,217,114,124,605,1,2055,46.0,1,8,8,8,6,12,15,6,8,7,4,12,12,2,7,13,10,8,7,14,11,8,8,8,11,7,2001
